,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,10,4,10,15,7,Mischief,10,1,AMP,15,/teams/events/match_report/?EventGameId=Q28BlE6Nt1vx6ZleAV61fMp7wIo6ncElYKncgYtmhf0%3d
1,15,8,15,10,1,AMP,15,7,Mischief,7,/teams/events/match_report/?EventGameId=Q28BlE6Nt1vx6ZleAV61fMp7wIo6ncElYKncgYtmhf0%3d
0,11,8,11,15,3,Space Heater,11,8,Blackbird,5,/teams/events/match_report/?EventGameId=o5e%2f8CQ5VDu0D9y9%2bnGQvrxIcqL7sParOZ5XA9cag5k%3d
1,14,6,15,11,8,Blackbird,15,3,Space Heater,1,/teams/events/match_report/?EventGameId=o5e%2f8CQ5VDu0D9y9%2bnGQvrxIcqL7sParOZ5XA9cag5k%3d
0,12,6,12,15,5,Drag'n Thrust,12,4,Snake Country,12,/teams/events/match_report/?EventGameId=%2b%2bWeEv804zarDLnMUNGZPMWIYs5ge1MjjodIoYguaeE%3d
1,15,4,15,12,4,Snake Country,15,5,Drag'n Thrust,12,/teams/events/match_report/?EventGameId=%2b%2bWeEv804zarDLnMUNGZPMWIYs5ge1MjjodIoYguaeE%3d
0,13,7,13,10,3,Space Heater,13,1,AMP,13,/teams/events/match_report/?EventGameId=heWEqaUt0uBGzIfrQ6Cyr1fPIzeOMVKfbqAaC8gBUbs%3d
1,10,3,10,13,1,AMP,10,3,Space Heater,14,/teams/events/match_report/?EventGameId=heWEqaUt0uBGzIfrQ6Cyr1fPIzeOMVKfbqAaC8gBUbs%3d
0,12,5,14,11,9,BFG,15,1,AMP,7,/teams/events/match_report/?EventGameId=T0b5Mb%2b91Sdqw71Bt7fn6zOVEUevaXzH2uqM8qIQx40%3d
1,9,4,11,15,1,AMP,11,9,BFG,6,/teams/events/match_report/?EventGameId=T0b5Mb%2b91Sdqw71Bt7fn6zOVEUevaXzH2uqM8qIQx40%3d
0,7,4,7,15,3,Space Heater,7,6,Ellipsis,12,/teams/events/match_report/?EventGameId=3hKt1D83T%2bq5VsETFQg5N6VPqcbfXyRjL1N8PvjFzzM%3d
1,15,8,15,7,6,Ellipsis,15,3,Space Heater,8,/teams/events/match_report/?EventGameId=3hKt1D83T%2bq5VsETFQg5N6VPqcbfXyRjL1N8PvjFzzM%3d
0,15,1,16,15,6,Ellipsis,16,9,BFG,7,/teams/events/match_report/?EventGameId=2sw14ZA3qu9LkTA3cO%2b2RUt3ChMDIs8hDr58IiJ9dUI%3d
1,15,1,15,16,9,BFG,15,6,Ellipsis,7,/teams/events/match_report/?EventGameId=2sw14ZA3qu9LkTA3cO%2b2RUt3ChMDIs8hDr58IiJ9dUI%3d
0,12,3,13,12,7,Mischief,13,2,Seattle Mixtape,14,/teams/events/match_report/?EventGameId=gdYKJRXMIM6Rx8uaMqZmY9wki7IKX1CQdmxdkXE%2fheI%3d
1,12,5,12,13,2,Seattle Mixtape,12,7,Mischief,15,/teams/events/match_report/?EventGameId=gdYKJRXMIM6Rx8uaMqZmY9wki7IKX1CQdmxdkXE%2fheI%3d
0,15,2,15,8,10,CRAZY,15,4,Snake Country,1,/teams/events/match_report/?EventGameId=H720Zz78lXrrsfIjv1nMLtFa5j5lhE5ouWbGew64I4o%3d
1,8,2,8,15,4,Snake Country,8,10,CRAZY,9,/teams/events/match_report/?EventGameId=H720Zz78lXrrsfIjv1nMLtFa5j5lhE5ouWbGew64I4o%3d
0,12,4,12,15,9,BFG,12,3,Space Heater,10,/teams/events/match_report/?EventGameId=YUvy%2fuuZJ8SPgvY%2fpcc478puK3sfXku5Smt1SygMUbc%3d
1,15,3,15,12,3,Space Heater,15,9,BFG,9,/teams/events/match_report/?EventGameId=YUvy%2fuuZJ8SPgvY%2fpcc478puK3sfXku5Smt1SygMUbc%3d
0,10,3,10,15,8,Blackbird,10,12,Voltaje U.C,12,/teams/events/match_report/?EventGameId=D3A4XDLNmxweusQZaQRyF%2b74Z%2fY13RtJwoNo2LWEgRE%3d
1,15,9,15,10,12,Voltaje U.C,15,8,Blackbird,7,/teams/events/match_report/?EventGameId=D3A4XDLNmxweusQZaQRyF%2b74Z%2fY13RtJwoNo2LWEgRE%3d
0,10,1,10,15,5,Drag'n Thrust,10,4,Snake Country,16,/teams/events/match_report/?EventGameId=za6T3pa1PELPu5pqDci2DjqrLuyBbZGlwVC2VDt4i4w%3d
1,15,8,15,10,4,Snake Country,15,5,Drag'n Thrust,11,/teams/events/match_report/?EventGameId=za6T3pa1PELPu5pqDci2DjqrLuyBbZGlwVC2VDt4i4w%3d
0,15,4,14,12,12,Voltaje U.C,15,2,Seattle Mixtape,5,/teams/events/match_report/?EventGameId=NFkXhvfEntmrZ0Xeio9r9RPtwPEgOYzxWxJQJ45ZGMM%3d
