,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,-1,Sophie Taylor,SOPHIE TAYLOR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
1,2,Jesse Shofner,JESSE SHOFNER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
2,3,Liza Minor,LIZA MINOR,3,3,1,1,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
3,5,Nhi Nguyen,NHI NGUYEN,2,2,1,1,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
4,7,Paige Applegate,PAIGE APPLEGATE,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
5,10,Chelsea Twohig,CHELSEA TWOHIG,2,2,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
6,11,Megan Henderson,MEGAN HENDERSON,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
7,12,Liz Narmour,LIZ NARMOUR,1,1,0,0,2,3,3,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
8,13,Alika Johnston,ALIKA JOHNSTON,1,1,1,1,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
9,15,Sara Taggart,SARA TAGGART,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
10,17,Emma Capra,EMMA CAPRA,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
11,22,Allysha Dixon,ALLYSHA DIXON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
12,26,Lisa Pitcaithley,LISA PITCAITHLEY,0,0,6,6,0,1,1,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d,Molly Brown,6,15,German National Team,9,10
