,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,15,5,14,10,9,German National Team,15,6,Molly Brown,14,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d
1,10,3,10,15,6,Molly Brown,10,9,German National Team,17,/teams/events/match_report/?EventGameId=hqsNsv7Rt3iLMfYWmD1w%2b01JBD33juTeA%2bF1a%2f4cYKQ%3d
0,15,4,15,12,10,HUCK,15,1,Seattle Riot,6,/teams/events/match_report/?EventGameId=QZb34hdMY38sNI9jBQXLIFZTN4TwK97mmIbt04g7oqM%3d
1,9,4,11,15,1,Seattle Riot,12,10,HUCK,5,/teams/events/match_report/?EventGameId=QZb34hdMY38sNI9jBQXLIFZTN4TwK97mmIbt04g7oqM%3d
0,15,2,15,13,9,German National Team,15,3,Fury,7,/teams/events/match_report/?EventGameId=EQqqiq2zBfgsPMX9hly4A%2bMBnKp71%2fvhXp5kKzSOysc%3d
1,13,3,13,15,3,Fury,13,9,German National Team,9,/teams/events/match_report/?EventGameId=EQqqiq2zBfgsPMX9hly4A%2bMBnKp71%2fvhXp5kKzSOysc%3d
0,15,9,15,13,5,Scandal,15,4,Brute Squad,12,/teams/events/match_report/?EventGameId=OQdnZnrWdwhA4XU1NS4lQ%2baj0JrTWxfdgz9lCCZIdlE%3d
1,12,6,11,15,4,Brute Squad,13,5,Scandal,11,/teams/events/match_report/?EventGameId=OQdnZnrWdwhA4XU1NS4lQ%2baj0JrTWxfdgz9lCCZIdlE%3d
0,15,1,14,10,8,uno,15,6,Molly Brown,5,/teams/events/match_report/?EventGameId=K%2fTJZTqHu%2fVvgSY280Kod0G9%2fz6SdATUBbI8dCJyNRM%3d
1,10,0,10,15,6,Molly Brown,10,8,uno,9,/teams/events/match_report/?EventGameId=K%2fTJZTqHu%2fVvgSY280Kod0G9%2fz6SdATUBbI8dCJyNRM%3d
0,15,3,15,12,12,Nightlock,15,8,uno,7,/teams/events/match_report/?EventGameId=HTz21DZ9Wuh%2bZ4oK7nh9WmKqemmIyXHSdqJeOWyGv3k%3d
1,12,5,12,15,8,uno,12,12,Nightlock,10,/teams/events/match_report/?EventGameId=HTz21DZ9Wuh%2bZ4oK7nh9WmKqemmIyXHSdqJeOWyGv3k%3d
0,15,6,15,9,9,German National Team,15,3,Fury,12,/teams/events/match_report/?EventGameId=SAHwhD9Wa3WOxVG6xdP4q4xHZKe5deeqxyykEzsA1pE%3d
1,9,3,8,15,3,Fury,9,9,German National Team,17,/teams/events/match_report/?EventGameId=SAHwhD9Wa3WOxVG6xdP4q4xHZKe5deeqxyykEzsA1pE%3d
0,14,4,14,16,5,Scandal,15,3,Fury,11,/teams/events/match_report/?EventGameId=YXGcn%2b187Lc7kYS5nIQUnWfaIEhfZ3EtdPDBdddpb5U%3d
1,16,2,16,15,3,Fury,16,5,Scandal,12,/teams/events/match_report/?EventGameId=YXGcn%2b187Lc7kYS5nIQUnWfaIEhfZ3EtdPDBdddpb5U%3d
0,8,2,9,15,3,Fury,9,10,HUCK,11,/teams/events/match_report/?EventGameId=zqfDo7M6heMwHXbS07m0i0rBIU2yo%2fHAtWNkbXL9NGw%3d
1,15,10,15,9,10,HUCK,15,3,Fury,8,/teams/events/match_report/?EventGameId=zqfDo7M6heMwHXbS07m0i0rBIU2yo%2fHAtWNkbXL9NGw%3d
0,15,7,15,10,6,Molly Brown,15,3,Fury,13,/teams/events/match_report/?EventGameId=1B9HMZv4tDUMLeJi5m0TEywVE6BBWHm2iekruHv%2fKq0%3d
1,10,8,9,15,3,Fury,10,6,Molly Brown,17,/teams/events/match_report/?EventGameId=1B9HMZv4tDUMLeJi5m0TEywVE6BBWHm2iekruHv%2fKq0%3d
