,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0.0,Samantha Rodenberg,Cutter,"1'0""",3.0,1.0,2.0,2.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,SAMANTHA RODENBERG
1,1.0,Kelly Johnson,Handler,,3.0,10.0,7.0,6.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,KELLY JOHNSON
2,3.0,Molly Sinnott,,,3.0,2.0,2.0,,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,MOLLY SINNOTT
3,7.0,Calise Cardenas,Deep,,1.0,1.0,2.0,1.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,CALISE CARDENAS
4,8.0,Rachel Bradshaw,Deep,,5.0,3.0,,1.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,RACHEL BRADSHAW
5,9.0,Qxhna Titcomb,Handler,"5'7""",3.0,11.0,2.0,7.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,QXHNA TITCOMB
6,10.0,Shira Stern,Cutter,"5'5""",2.0,,1.0,,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,SHIRA STERN
7,11.0,Kaede Yoshida,,,5.0,7.0,1.0,5.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,KAEDE YOSHIDA
8,14.0,Hana Kawai,Deep,,3.0,14.0,4.0,6.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,HANA KAWAI
9,15.0,Bailey Zahniser,Cutter,,3.0,1.0,1.0,3.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,BAILEY ZAHNISER
10,16.0,Cassandra Swafford,Handler/Cutter,,3.0,4.0,1.0,3.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,CASSANDRA SWAFFORD
11,17.0,Dominique Fontenette,Mid,,6.0,2.0,1.0,2.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,DOMINIQUE FONTENETTE
12,18.0,Madeline Gilbert,Cutter,"1'0""",3.0,1.0,,1.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,MADELINE GILBERT
13,19.0,Hannah Kreilkamp,,,2.0,5.0,,6.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,HANNAH KREILKAMP
14,20.0,Kristin (Charlie) Eide,Handler/Cutter,"5'7""",3.0,3.0,1.0,3.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,KRISTIN (CHARLIE) EIDE
15,21.0,Molly McKeon,Deep,"5'5""",2.0,,,1.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,MOLLY MCKEON
16,22.0,Jack Verzuh,Dump,"6'0""",17.0,9.0,3.0,3.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,JACK VERZUH
17,23.0,Aimie Kawai,Cutter,,4.0,,3.0,2.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,AIMIE KAWAI
18,25.0,Alyssa Weatherford,Handler,"5'5""",2.0,5.0,2.0,9.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,ALYSSA WEATHERFORD
19,27.0,Julia Snyder,Handler,,,3.0,1.0,2.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,JULIA SNYDER
20,31.0,Stephanie Lim,Handler,,2.0,1.0,,1.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,STEPHANIE LIM
21,32.0,Linnea Soo,Defense (Cutter),"5'4""",,,,,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,LINNEA SOO
22,44.0,Abbie Abramovich,,,11.0,4.0,1.0,2.0,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,ABBIE ABRAMOVICH
23,81.0,Charlie Mercer,Mid,,,,,,/events/teams/?EventTeamId=ZBOMiHxU7Y3u8LvX8W8DR2gVhmfjTjOC5ZcZNhhUBS8%3d,Seattle Riot,1,CHARLIE MERCER
0,0.0,Eileen Duffner,Handler,"5'9""",10.0,3.0,,8.0,/events/teams/?EventTeamId=KYLnhY%2fuEAw5ALV3%2fxjP0ExJXt9fSDPL%2bBloW4sGlqM%3d,Nemesis,11,EILEEN DUFFNER
1,1.0,Allison Fish,,,,7.0,1.0,5.0,/events/teams/?EventTeamId=KYLnhY%2fuEAw5ALV3%2fxjP0ExJXt9fSDPL%2bBloW4sGlqM%3d,Nemesis,11,ALLISON FISH
2,2.0,Elizabeth Arakaki,,,3.0,1.0,1.0,,/events/teams/?EventTeamId=KYLnhY%2fuEAw5ALV3%2fxjP0ExJXt9fSDPL%2bBloW4sGlqM%3d,Nemesis,11,ELIZABETH ARAKAKI
3,4.0,Monica Matsumoto,,,,,,,/events/teams/?EventTeamId=KYLnhY%2fuEAw5ALV3%2fxjP0ExJXt9fSDPL%2bBloW4sGlqM%3d,Nemesis,11,MONICA MATSUMOTO
4,5.0,Anna Thorn,Handler,"5'6""",,2.0,,,/events/teams/?EventTeamId=KYLnhY%2fuEAw5ALV3%2fxjP0ExJXt9fSDPL%2bBloW4sGlqM%3d,Nemesis,11,ANNA THORN
