,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,9,8,8,7,Georgia College,9,Williams,32,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d
1,7,6,7,9,Williams,7,Georgia College,35,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d
2,9,8,8,7,Georgia College,9,Williams,32,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d
3,7,6,7,9,Williams,7,Georgia College,35,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d
4,12,12,12,9,Haverford,12,Wesleyan,33,/teams/events/match_report/?EventGameId=ahV%2fG9SMqUCksYC0grnk5O85%2fdosOsbn7ZTHstXDXcI%3d
5,9,5,9,12,Wesleyan,9,Haverford,32,/teams/events/match_report/?EventGameId=ahV%2fG9SMqUCksYC0grnk5O85%2fdosOsbn7ZTHstXDXcI%3d
6,12,12,12,9,Haverford,12,Wesleyan,33,/teams/events/match_report/?EventGameId=ahV%2fG9SMqUCksYC0grnk5O85%2fdosOsbn7ZTHstXDXcI%3d
7,9,5,9,12,Wesleyan,9,Haverford,32,/teams/events/match_report/?EventGameId=ahV%2fG9SMqUCksYC0grnk5O85%2fdosOsbn7ZTHstXDXcI%3d
8,9,12,9,6,Haverford,9,Williams,44,/teams/events/match_report/?EventGameId=IZLYOGnW4nJCuQeebs1CMEAO2bKOs100m34VQmPCBMs%3d
9,6,11,6,9,Williams,6,Haverford,44,/teams/events/match_report/?EventGameId=IZLYOGnW4nJCuQeebs1CMEAO2bKOs100m34VQmPCBMs%3d
10,9,12,9,6,Haverford,9,Williams,44,/teams/events/match_report/?EventGameId=IZLYOGnW4nJCuQeebs1CMEAO2bKOs100m34VQmPCBMs%3d
11,6,11,6,9,Williams,6,Haverford,44,/teams/events/match_report/?EventGameId=IZLYOGnW4nJCuQeebs1CMEAO2bKOs100m34VQmPCBMs%3d
12,13,11,13,7,Georgia College,13,Wesleyan,28,/teams/events/match_report/?EventGameId=fjAZm7yJxFVnrEElufBO9ZOJ8MJ8v82DPknuDqoOBZs%3d
13,6,5,7,13,Wesleyan,7,Georgia College,32,/teams/events/match_report/?EventGameId=fjAZm7yJxFVnrEElufBO9ZOJ8MJ8v82DPknuDqoOBZs%3d
14,13,11,13,7,Georgia College,13,Wesleyan,28,/teams/events/match_report/?EventGameId=fjAZm7yJxFVnrEElufBO9ZOJ8MJ8v82DPknuDqoOBZs%3d
15,6,5,7,13,Wesleyan,7,Georgia College,32,/teams/events/match_report/?EventGameId=fjAZm7yJxFVnrEElufBO9ZOJ8MJ8v82DPknuDqoOBZs%3d
16,8,12,8,9,Wesleyan,8,Williams,39,/teams/events/match_report/?EventGameId=%2ftxf08ZV%2bX2Mq%2fCMuQGsyOZOzuydm0mgZ2%2fyQ%2fV3rsQ%3d
17,9,11,9,8,Williams,9,Wesleyan,37,/teams/events/match_report/?EventGameId=%2ftxf08ZV%2bX2Mq%2fCMuQGsyOZOzuydm0mgZ2%2fyQ%2fV3rsQ%3d
18,8,12,8,9,Wesleyan,8,Williams,39,/teams/events/match_report/?EventGameId=%2ftxf08ZV%2bX2Mq%2fCMuQGsyOZOzuydm0mgZ2%2fyQ%2fV3rsQ%3d
