,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,1,Simon Higgins,SIMON HIGGINS,1,1,1,1,0,2,2,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
1,2,Taylor Lahey,TAYLOR LAHEY,0,0,2,2,1,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
2,3,Kevin Cocks,KEVIN COCKS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
3,4,Joel Schlachet,JOEL SCHLACHET,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
4,5,Devon Anderson,DEVON ANDERSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
5,7,Russell Wynne,RUSSELL WYNNE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
6,8,Patrick Baylis,PATRICK BAYLIS,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
7,9,Cassidy Rasmussen,CASSIDY RASMUSSEN,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
8,10,Robbie Cahill,ROBBIE CAHILL,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
9,11,Zachary Travis,ZACHARY TRAVIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
10,12,Sam Kanner,SAM KANNER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
11,13,Alex Evangelides,ALEX EVANGELIDES,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
12,16,Jamie Quella,JAMIE QUELLA,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
13,18,Gregory Cohen,GREGORY COHEN,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
14,19,Ryo Kawaoka,RYO KAWAOKA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
15,20,Nick Schlag,NICK SCHLAG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
16,21,Andrew Hagen,ANDREW HAGEN,0,0,1,1,1,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
17,22,Marcelo Sanchez,MARCELO SANCHEZ,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
18,23,Jordan Jeffery,JORDAN JEFFERY,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
19,24,Elijah Kerns,ELIJAH KERNS,0,0,2,2,2,2,2,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
20,27,Ashlin Joye,ASHLIN JOYE,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
21,28,Nathan White,NATHAN WHITE,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
22,29,Christian Johnson,CHRISTIAN JOHNSON,2,2,2,2,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
23,32,Jordan Marcy,JORDAN MARCY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
24,35,Lucas Dallmann,LUCAS DALLMANN,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
25,50,Beau Kittredge,BEAU KITTREDGE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
26,87,Chris Kosednar,CHRIS KOSEDNAR,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d,Revolver,1,15,Patrol,12,8
