,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,15,7,12,8,Patrol,15,Revolver,6,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d
1,8,1,8,15,Revolver,8,Patrol,11,/teams/events/match_report/?EventGameId=CThk1T8B%2fBO2CP9IckKmufBsPXtbWp0B7wUD3tdF7lA%3d
2,12,7,13,14,Madison Club,13,Chicago Machine,19,/teams/events/match_report/?EventGameId=TIOlMdjqt95ZEAdSq5s2cWJpYaTgRsnlnsWtsapj%2bkI%3d
3,14,8,14,13,Chicago Machine,14,Madison Club,21,/teams/events/match_report/?EventGameId=TIOlMdjqt95ZEAdSq5s2cWJpYaTgRsnlnsWtsapj%2bkI%3d
4,15,8,15,10,Madison Club,15,Revolver,10,/teams/events/match_report/?EventGameId=WNvPNTMIBhf6in%2baE0mYS%2bbBEKWUYfjk9I6KeL4ZFqk%3d
5,10,4,10,15,Revolver,10,Madison Club,13,/teams/events/match_report/?EventGameId=WNvPNTMIBhf6in%2baE0mYS%2bbBEKWUYfjk9I6KeL4ZFqk%3d
6,14,3,14,15,Patrol,14,Chicago Machine,11,/teams/events/match_report/?EventGameId=PIZdK0Y%2bvY1n0f2SHGNHJGrAJ0mZvj4OsWXUVNe1sJY%3d
7,15,4,15,14,Chicago Machine,15,Patrol,9,/teams/events/match_report/?EventGameId=PIZdK0Y%2bvY1n0f2SHGNHJGrAJ0mZvj4OsWXUVNe1sJY%3d
8,15,10,15,8,Chicago Machine,15,Revolver,7,/teams/events/match_report/?EventGameId=DNZvCLAB5M9RmTvZhP%2fmJdeQLAJc3jmdwPt%2fUviz8yY%3d
9,7,3,8,15,Revolver,8,Chicago Machine,7,/teams/events/match_report/?EventGameId=DNZvCLAB5M9RmTvZhP%2fmJdeQLAJc3jmdwPt%2fUviz8yY%3d
10,15,10,14,12,Madison Club,15,Patrol,7,/teams/events/match_report/?EventGameId=%2bXIw%2fxhUjdVWZLy%2fZ%2f8NikdCToReRg%2biZy4mQGZlYic%3d
11,12,5,12,15,Patrol,12,Madison Club,6,/teams/events/match_report/?EventGameId=%2bXIw%2fxhUjdVWZLy%2fZ%2f8NikdCToReRg%2biZy4mQGZlYic%3d
12,15,7,15,10,Ring of Fire,15,Doublewide,5,/teams/events/match_report/?EventGameId=qC8CPi8CDYclnQgZ576%2bB9w1hyb%2b1uK7QqBomV50TeM%3d
13,10,6,10,15,Doublewide,10,Ring of Fire,17,/teams/events/match_report/?EventGameId=qC8CPi8CDYclnQgZ576%2bB9w1hyb%2b1uK7QqBomV50TeM%3d
14,14,1,14,15,Sub Zero,14,Rhino,9,/teams/events/match_report/?EventGameId=v%2fZZnuBIkiJRRA3oiHXpyU6q6mbEpQNeUSjARxKOjMA%3d
15,15,5,15,14,Rhino,15,Sub Zero,11,/teams/events/match_report/?EventGameId=v%2fZZnuBIkiJRRA3oiHXpyU6q6mbEpQNeUSjARxKOjMA%3d
16,15,6,15,9,Sub Zero,15,Doublewide,9,/teams/events/match_report/?EventGameId=GJWZQc%2fOSvvvRF1wW5kHRrPR7tWzwYq06AVQjvFgsNs%3d
17,9,2,9,15,Doublewide,9,Sub Zero,13,/teams/events/match_report/?EventGameId=GJWZQc%2fOSvvvRF1wW5kHRrPR7tWzwYq06AVQjvFgsNs%3d
18,13,0,13,15,Ring of Fire,13,Rhino,0,/teams/events/match_report/?EventGameId=Xivg5Ubv%2bZp2Oamjx2%2fMCTeCv8PYwha7%2feIwh2My8Ms%3d
19,15,2,15,13,Rhino,15,Ring of Fire,7,/teams/events/match_report/?EventGameId=Xivg5Ubv%2bZp2Oamjx2%2fMCTeCv8PYwha7%2feIwh2My8Ms%3d
20,11,1,14,15,Rhino,14,Doublewide,10,/teams/events/match_report/?EventGameId=2pPUEUFTNRqzILxobeC5NxPlY7qEeeAnbTQibiP9rN0%3d
21,16,3,16,14,Doublewide,15,Rhino,8,/teams/events/match_report/?EventGameId=2pPUEUFTNRqzILxobeC5NxPlY7qEeeAnbTQibiP9rN0%3d
22,12,3,12,15,Sub Zero,12,Ring of Fire,16,/teams/events/match_report/?EventGameId=JM5weN7AWY6VZPDmDrsNPN0ygaw3gKgQgrDkMtigCuQ%3d
23,15,1,15,12,Ring of Fire,15,Sub Zero,7,/teams/events/match_report/?EventGameId=JM5weN7AWY6VZPDmDrsNPN0ygaw3gKgQgrDkMtigCuQ%3d
24,13,0,13,7,Florida United,13,Sockeye,10,/teams/events/match_report/?EventGameId=lfRtdLwndcunPmvPKqLrGkxG%2fWsXzCHxsIbGviQMcNE%3d
25,7,0,7,13,Sockeye,7,Florida United,15,/teams/events/match_report/?EventGameId=lfRtdLwndcunPmvPKqLrGkxG%2fWsXzCHxsIbGviQMcNE%3d
26,14,8,14,13,GOAT,14,Truck Stop,12,/teams/events/match_report/?EventGameId=L9nJUKnxUGRS%2fizF31SEfVyp21zNEfvzkRZ0%2bWGNazc%3d
27,13,6,13,14,Truck Stop,13,GOAT,12,/teams/events/match_report/?EventGameId=L9nJUKnxUGRS%2fizF31SEfVyp21zNEfvzkRZ0%2bWGNazc%3d
28,15,2,15,9,GOAT,15,Sockeye,3,/teams/events/match_report/?EventGameId=0cU%2faewFaDW4IOBhsac0fWytsy8SunK2437mJf6oAUA%3d
29,9,4,9,15,Sockeye,9,GOAT,4,/teams/events/match_report/?EventGameId=0cU%2faewFaDW4IOBhsac0fWytsy8SunK2437mJf6oAUA%3d
30,9,3,9,14,Florida United,10,Truck Stop,3,/teams/events/match_report/?EventGameId=91Kk9yr%2fgL9vIFH4RXcJvtkmtw%2fT7ThZNlTQQLkZ7NY%3d
31,12,1,12,10,Truck Stop,14,Florida United,8,/teams/events/match_report/?EventGameId=91Kk9yr%2fgL9vIFH4RXcJvtkmtw%2fT7ThZNlTQQLkZ7NY%3d
32,13,3,13,12,Truck Stop,13,Sockeye,13,/teams/events/match_report/?EventGameId=kOwPSwiaQPhFGzYZhQJySQ2%2bRxnfBDv5qTlrjVtiQXk%3d
33,12,5,12,13,Sockeye,12,Truck Stop,12,/teams/events/match_report/?EventGameId=kOwPSwiaQPhFGzYZhQJySQ2%2bRxnfBDv5qTlrjVtiQXk%3d
34,15,8,15,14,GOAT,15,Florida United,11,/teams/events/match_report/?EventGameId=2FvaPp%2fZD2przxpK50K0346IJWt9cUwBv7vhgGkG7zk%3d
35,14,5,14,15,Florida United,14,GOAT,14,/teams/events/match_report/?EventGameId=2FvaPp%2fZD2przxpK50K0346IJWt9cUwBv7vhgGkG7zk%3d
36,15,5,13,10,Ironside,15,HIGH FIVE,11,/teams/events/match_report/?EventGameId=NJ8GXBHaE%2bTqIVmKNAMzlNoeNbvVx3dmF31JT5RUhks%3d
37,10,4,10,15,HIGH FIVE,10,Ironside,15,/teams/events/match_report/?EventGameId=NJ8GXBHaE%2bTqIVmKNAMzlNoeNbvVx3dmF31JT5RUhks%3d
38,15,6,15,7,Prairie Fire,15,Johnny Bravo,10,/teams/events/match_report/?EventGameId=y6aIS2MC6AhgB42%2bZeldWsFE2%2bkSZtEIJJ6PFB7qwZI%3d
39,7,3,7,15,Johnny Bravo,7,Prairie Fire,14,/teams/events/match_report/?EventGameId=y6aIS2MC6AhgB42%2bZeldWsFE2%2bkSZtEIJJ6PFB7qwZI%3d
40,15,0,15,12,Prairie Fire,15,HIGH FIVE,1,/teams/events/match_report/?EventGameId=QeZokFDKtxVoVzmzHGOtVRe2X6mhcziau2jiROVjHUc%3d
41,12,1,12,15,HIGH FIVE,12,Prairie Fire,10,/teams/events/match_report/?EventGameId=QeZokFDKtxVoVzmzHGOtVRe2X6mhcziau2jiROVjHUc%3d
42,14,3,14,12,Ironside,14,Johnny Bravo,18,/teams/events/match_report/?EventGameId=fDNDUHTFUOWAWP6svR0CVU6sqM8j1x3A9ntxj1M33dY%3d
43,12,4,12,14,Johnny Bravo,12,Ironside,13,/teams/events/match_report/?EventGameId=fDNDUHTFUOWAWP6svR0CVU6sqM8j1x3A9ntxj1M33dY%3d
44,9,3,9,15,Johnny Bravo,9,HIGH FIVE,13,/teams/events/match_report/?EventGameId=lPCw2ck49CpcDekaG8BCOWxvH0EILAbmod29R42JqcE%3d
45,15,3,15,9,HIGH FIVE,15,Johnny Bravo,8,/teams/events/match_report/?EventGameId=lPCw2ck49CpcDekaG8BCOWxvH0EILAbmod29R42JqcE%3d
46,15,7,15,9,Prairie Fire,15,Ironside,7,/teams/events/match_report/?EventGameId=jxK21ly4zQxsr%2fuVOORqqOTH4zLHP0MLrVIOajK0ZuM%3d
47,10,1,10,15,Ironside,9,Prairie Fire,4,/teams/events/match_report/?EventGameId=jxK21ly4zQxsr%2fuVOORqqOTH4zLHP0MLrVIOajK0ZuM%3d
48,15,3,15,9,Sockeye,15,Revolver,5,/teams/events/match_report/?EventGameId=OgHDJXEynSgW0ZdFhGW2GAUgSmtblLlmwV8dBaDsY1U%3d
49,9,2,9,15,Revolver,9,Sockeye,10,/teams/events/match_report/?EventGameId=OgHDJXEynSgW0ZdFhGW2GAUgSmtblLlmwV8dBaDsY1U%3d
