,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,1,Jeffrey Trosvig,JEFFREY TROSVIG,1,1,1,1,0,4,4,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
1,2,Emily Regan,EMILY REGAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
2,3,Patrick Niles,PATRICK NILES,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
3,4,Erica Baken,ERICA BAKEN,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
4,5,Alexander Baker,ALEXANDER BAKER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
5,6,Jake Mckean,JAKE MCKEAN,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
6,7,David Shirley,DAVID SHIRLEY,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
7,8,Claire Oakley,CLAIRE OAKLEY,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
8,9,Jay Drescher,JAY DRESCHER,0,0,1,1,1,2,2,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
9,10,Martha Harris,MARTHA HARRIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
10,13,Jacob Lien,JACOB LIEN,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
11,14,Austin Lien,AUSTIN LIEN,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
12,15,"Mary ""Patty"" King","MARY ""PATTY"" KING",0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
13,16,Brian Schoenrock,BRIAN SCHOENROCK,1,1,0,0,1,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
14,17,Eric Vandermolen,ERIC VANDERMOLEN,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
15,19,Mike Clark,MIKE CLARK,3,3,0,0,1,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
16,21,David Klink,DAVID KLINK,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
17,23,Michael (Mike) Petersen,MICHAEL (MIKE) PETERSEN,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
18,24,Jessica Haller,JESSICA HALLER,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
19,31,Josh Hemmesch,JOSH HEMMESCH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
20,32,MELISSA LaFrance,MELISSA LAFRANCE,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
21,33,Jaime Glader,JAIME GLADER,0,0,0,0,1,2,2,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
22,35,Sarah Anciaux,SARAH ANCIAUX,2,2,0,0,0,2,2,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
23,37,Sierra Barthen,SIERRA BARTHEN,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
24,42,Meredith Bray,MEREDITH BRAY,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
25,44,Sarah Meckstroth,SARAH MECKSTROTH,1,1,1,1,2,2,2,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
26,55,Carlos Wolle,CARLOS WOLLE,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,Drag'n Thrust,1,13,NOISE,12,11
0,1,Francis Kelley,FRANCIS KELLEY,2,2,0,0,1,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
1,3,Daniel Rowan,DANIEL ROWAN,2,2,0,0,1,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
2,4,Vanessa Cannaday,VANESSA CANNADAY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
3,5,Eric Alexander,ERIC ALEXANDER,1,1,0,0,1,2,2,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
4,7,Josh Davidson,JOSH DAVIDSON,0,0,1,1,0,2,2,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
5,8,Maria Signore,MARIA SIGNORE,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
6,9,Sam Loveland,SAM LOVELAND,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
7,11,Brittany Bergen,BRITTANY BERGEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
8,12,Elizabeth Arakaki,ELIZABETH ARAKAKI,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
9,14,Martin Granick,MARTIN GRANICK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
10,16,Frank Qin,FRANK QIN,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
11,17,Emily Dayton,EMILY DAYTON,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
12,18,Kevin Herrera,KEVIN HERRERA,0,0,5,5,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
13,19,Ari Davidson,ARI DAVIDSON,0,0,0,0,0,6,6,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
14,20,Katherine Goode,KATHERINE GOODE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
15,21,Anneke Vermaak,ANNEKE VERMAAK,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
16,22,Stephen Haynes,STEPHEN HAYNES,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d,NOISE,12,11,Drag'n Thrust,1,13
