,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,1,Sophia Herscu,SOPHIA HERSCU,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
1,2,Courtney Kiesow,COURTNEY KIESOW,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
2,4,Lien Hoffmann,LIEN HOFFMANN,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
3,4,Courtney Verhaalen,COURTNEY VERHAALEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
4,5,Magon Liu,MAGON LIU,0,0,0,0,3,2,2,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
5,6,Claudia Tajima,CLAUDIA TAJIMA,1,1,1,1,0,1,1,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
6,7,Kami Groom,KAMI GROOM,0,0,2,2,5,2,2,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
7,9,Becca Ludford,BECCA LUDFORD,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
8,10,Amber Sinicrope,AMBER SINICROPE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
9,11,Christie Kim,CHRISTIE KIM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
10,12,Dory Ziperstein,DORY ZIPERSTEIN,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
11,13,Becky Malinowski,BECKY MALINOWSKI,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
12,14,Paula Seville,PAULA SEVILLE,1,1,3,3,0,1,1,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
13,17,Angela Zhu,ANGELA ZHU,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
14,18,Leila Tunnell,LEILA TUNNELL,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
15,20,Sarah Cook,SARAH COOK,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
16,21,Chelsea Murphy,CHELSEA MURPHY,1,1,0,0,0,2,2,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
17,22,Victoria Negus,VICTORIA NEGUS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
18,23,Emily Baecher,EMILY BAECHER,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
19,24,Rachael Westgate,RACHAEL WESTGATE,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
20,25,Shira Klane,SHIRA KLANE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
21,26,Elana Schwam,ELANA SCHWAM,0,0,1,1,1,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
22,28,Shellie Cohen,SHELLIE COHEN,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
23,33,Laura Bitterman,LAURA BITTERMAN,3,3,1,1,0,0,0,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
24,39,Sydney Dobkin,SYDNEY DOBKIN,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=ffT%2fpy0Y4Lm4dNRbaM7PdHY285Qb9ST1TJV8eT%2bd1CE%3d,Brute Squad,1,15,Heist,12,10
