,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,11,8,10,9,Ambiguous Grey,11,AMP,24,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d
1,8,9,7,11,AMP,9,Ambiguous Grey,25,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d
2,12,3,12,11,Blackbird,12,Metro North,27,/teams/events/match_report/?EventGameId=CNCeU02f99rmYYfBLEnp731YdX4Z1MbQdIjSQrUWiqQ%3d
3,11,14,11,12,Metro North,11,Blackbird,25,/teams/events/match_report/?EventGameId=CNCeU02f99rmYYfBLEnp731YdX4Z1MbQdIjSQrUWiqQ%3d
4,15,6,15,9,Blackbird,15,AMP,26,/teams/events/match_report/?EventGameId=rd5kbEVJTIt8oa25SYw3hEnizzDAstzKojGJP15aUPs%3d
5,9,6,9,15,AMP,9,Blackbird,31,/teams/events/match_report/?EventGameId=rd5kbEVJTIt8oa25SYw3hEnizzDAstzKojGJP15aUPs%3d
6,10,11,11,6,Ambiguous Grey,11,Metro North,32,/teams/events/match_report/?EventGameId=55VNd8WeTzPsd4%2bF0qC1yiPewSZjX%2fu0AmjZbiQfm8Q%3d
7,6,9,6,11,Metro North,6,Ambiguous Grey,36,/teams/events/match_report/?EventGameId=55VNd8WeTzPsd4%2bF0qC1yiPewSZjX%2fu0AmjZbiQfm8Q%3d
8,9,6,9,12,Metro North,9,AMP,21,/teams/events/match_report/?EventGameId=EKjMBSf9KQHod%2bSUsqVP3c3UtzpL0fftaJbLTc25p1Q%3d
9,12,9,12,9,AMP,12,Metro North,19,/teams/events/match_report/?EventGameId=EKjMBSf9KQHod%2bSUsqVP3c3UtzpL0fftaJbLTc25p1Q%3d
10,11,10,13,10,Blackbird,14,Ambiguous Grey,39,/teams/events/match_report/?EventGameId=xthcvMJO2najhOoFzPhw77TjxdhLNDK57LGHzDYx0Bo%3d
11,10,16,10,14,Ambiguous Grey,10,Blackbird,43,/teams/events/match_report/?EventGameId=xthcvMJO2najhOoFzPhw77TjxdhLNDK57LGHzDYx0Bo%3d
12,14,15,14,11,NOISE,14,Slow White,46,/teams/events/match_report/?EventGameId=PtxsWwo9erdqaz2lhjjw1wY%2bZeaNPjhBX6CRVjFdaog%3d
13,11,12,11,14,Slow White,11,NOISE,44,/teams/events/match_report/?EventGameId=PtxsWwo9erdqaz2lhjjw1wY%2bZeaNPjhBX6CRVjFdaog%3d
14,11,14,12,13,Public Enemy,12,Alloy,45,/teams/events/match_report/?EventGameId=eP6OxZRmbTFTR1aK92AEyzZ2%2bPN5Vqod5o%2bhKXTnXIQ%3d
15,13,21,13,12,Alloy,13,Public Enemy,48,/teams/events/match_report/?EventGameId=eP6OxZRmbTFTR1aK92AEyzZ2%2bPN5Vqod5o%2bhKXTnXIQ%3d
16,15,8,15,6,Public Enemy,15,Slow White,29,/teams/events/match_report/?EventGameId=fA0ksnEQ3SknN%2bHW2iLnFmtkm6dHEQ6uR8JEDaXwX5k%3d
17,6,9,6,15,Slow White,6,Public Enemy,36,/teams/events/match_report/?EventGameId=fA0ksnEQ3SknN%2bHW2iLnFmtkm6dHEQ6uR8JEDaXwX5k%3d
18,9,10,9,12,NOISE,9,Alloy,41,/teams/events/match_report/?EventGameId=FWaehyG2AagCCyFg0OJa0SKN8z6A0ea6qrY5d4vLp7c%3d
19,12,11,12,9,Alloy,12,NOISE,42,/teams/events/match_report/?EventGameId=FWaehyG2AagCCyFg0OJa0SKN8z6A0ea6qrY5d4vLp7c%3d
20,15,7,14,7,Alloy,15,Slow White,18,/teams/events/match_report/?EventGameId=V9St2%2b2BfRb6Tp9gWk2svT%2bMDIoTIUdnUb5Nwk3qKeg%3d
21,7,4,7,15,Slow White,7,Alloy,24,/teams/events/match_report/?EventGameId=V9St2%2b2BfRb6Tp9gWk2svT%2bMDIoTIUdnUb5Nwk3qKeg%3d
22,14,15,14,9,Public Enemy,14,NOISE,31,/teams/events/match_report/?EventGameId=cHhMXMDG3W1nTe5gvaQVQqFfJwssY4BUSq4nyxvv538%3d
23,9,8,9,14,NOISE,9,Public Enemy,38,/teams/events/match_report/?EventGameId=cHhMXMDG3W1nTe5gvaQVQqFfJwssY4BUSq4nyxvv538%3d
24,13,13,13,7,Love Tractor,13,Drag'n Thrust,26,/teams/events/match_report/?EventGameId=l7xwtANvrybuBSBfOZoIk9d38%2fcHGiwgGJUCwHMhLbs%3d
25,7,13,7,13,Drag'n Thrust,7,Love Tractor,32,/teams/events/match_report/?EventGameId=l7xwtANvrybuBSBfOZoIk9d38%2fcHGiwgGJUCwHMhLbs%3d
26,15,10,15,9,No Touching!,15,Steamboat,20,/teams/events/match_report/?EventGameId=YkWKiXZdNKeN3pDcLI%2fkFD4FdNsTtsBo7DLatimVIeY%3d
