,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,4,5,5,15,Fury,5,Ozone,17,/teams/events/match_report/?EventGameId=tTSvOKoxIb%2bXKu69xvPMZmGnu17JQ%2fQCe2d0KmCuwaY%3d
1,15,7,15,5,Ozone,15,Fury,8,/teams/events/match_report/?EventGameId=tTSvOKoxIb%2bXKu69xvPMZmGnu17JQ%2fQCe2d0KmCuwaY%3d
2,12,12,12,6,Underground,12,Seattle Riot,10,/teams/events/match_report/?EventGameId=wmnnjRZZLupjIXWP3ZY5h0SMBKdIk1RFXG2cfWWB2dc%3d
3,6,8,6,12,Seattle Riot,6,Underground,6,/teams/events/match_report/?EventGameId=wmnnjRZZLupjIXWP3ZY5h0SMBKdIk1RFXG2cfWWB2dc%3d
4,13,7,13,13,Brute Squad,14,Fury,14,/teams/events/match_report/?EventGameId=RPEQmGuzEBk7KVk2WTKQviFSXW%2fOct3dwM6wTj6OerE%3d
5,12,5,12,14,Fury,13,Brute Squad,15,/teams/events/match_report/?EventGameId=RPEQmGuzEBk7KVk2WTKQviFSXW%2fOct3dwM6wTj6OerE%3d
6,12,0,11,11,Nightlock,12,Scandal,0,/teams/events/match_report/?EventGameId=U%2bWehvJ%2faH%2bm%2bGJ6bR5f2h%2bk1JoyQG4ZbNNa9HURPgE%3d
7,13,0,13,12,Scandal,11,Nightlock,0,/teams/events/match_report/?EventGameId=U%2bWehvJ%2faH%2bm%2bGJ6bR5f2h%2bk1JoyQG4ZbNNa9HURPgE%3d
8,8,9,12,10,Showdown,12,Nemesis,22,/teams/events/match_report/?EventGameId=YwJUGcXzKlG%2fizTutq6S44yd0kwGA90UXDQzmzqFhEI%3d
9,10,9,10,12,Nemesis,10,Showdown,24,/teams/events/match_report/?EventGameId=YwJUGcXzKlG%2fizTutq6S44yd0kwGA90UXDQzmzqFhEI%3d
10,11,7,11,10,6ixers,11,Nightlock,23,/teams/events/match_report/?EventGameId=McCeP%2feymZePxwZh1A0cqbuT%2fXtA26ORePImDjKHM5k%3d
11,10,14,10,11,Nightlock,10,6ixers,25,/teams/events/match_report/?EventGameId=McCeP%2feymZePxwZh1A0cqbuT%2fXtA26ORePImDjKHM5k%3d
12,14,2,14,8,Schwa,14,Traffic,0,/teams/events/match_report/?EventGameId=MH4vqRHCfxHTU%2f5Z6DM98QmXexaHGQQ0jS0g%2fSNzkgI%3d
13,6,4,8,14,Traffic,8,Schwa,0,/teams/events/match_report/?EventGameId=MH4vqRHCfxHTU%2f5Z6DM98QmXexaHGQQ0jS0g%2fSNzkgI%3d
14,15,5,15,9,Ozone,15,Brute Squad,9,/teams/events/match_report/?EventGameId=%2bYQaBgWEsVLI9zZuNIEjeEXojLTmzNH6NF9Gsq8ZT5Y%3d
15,9,1,9,15,Brute Squad,9,Ozone,14,/teams/events/match_report/?EventGameId=%2bYQaBgWEsVLI9zZuNIEjeEXojLTmzNH6NF9Gsq8ZT5Y%3d
16,10,8,9,15,Schwa,9,Heist,12,/teams/events/match_report/?EventGameId=%2bQiJgwiCgFhth1Qg95LCP9EC%2bcW%2fB1hbmvzqUzuFNa8%3d
17,15,12,15,9,Heist,15,Schwa,13,/teams/events/match_report/?EventGameId=%2bQiJgwiCgFhth1Qg95LCP9EC%2bcW%2fB1hbmvzqUzuFNa8%3d
18,14,6,15,7,Nightlock,15,Seattle Riot,9,/teams/events/match_report/?EventGameId=F6F2j2stAtIlxYNx6E0HTjHmOHco7hI5zdqV1SgM%2bro%3d
19,7,7,7,15,Seattle Riot,7,Nightlock,19,/teams/events/match_report/?EventGameId=F6F2j2stAtIlxYNx6E0HTjHmOHco7hI5zdqV1SgM%2bro%3d
20,13,5,13,10,Schwa,13,6ixers,29,/teams/events/match_report/?EventGameId=UYN4HIwfUhxq0QvR49AYotimIazo7%2bgHl3EK%2b4YBcHk%3d
21,10,12,10,13,6ixers,10,Schwa,28,/teams/events/match_report/?EventGameId=UYN4HIwfUhxq0QvR49AYotimIazo7%2bgHl3EK%2b4YBcHk%3d
22,12,11,12,13,Showdown,12,6ixers,22,/teams/events/match_report/?EventGameId=g7X4ZRguOtjbAMWPct5xd8cBvV2c%2bcasFR6LBiPzDj4%3d
23,12,7,13,12,6ixers,13,Showdown,21,/teams/events/match_report/?EventGameId=g7X4ZRguOtjbAMWPct5xd8cBvV2c%2bcasFR6LBiPzDj4%3d
24,13,10,13,10,Underground,13,Nightlock,21,/teams/events/match_report/?EventGameId=WFjWxg773B%2bVwU60vM4IvUe3XT3HWX7pw87MeG89WmQ%3d
25,10,5,10,13,Nightlock,10,Underground,17,/teams/events/match_report/?EventGameId=WFjWxg773B%2bVwU60vM4IvUe3XT3HWX7pw87MeG89WmQ%3d
26,7,10,7,12,Rival,7,Underground,24,/teams/events/match_report/?EventGameId=3tAb4J9FibVuDaZd6aAOeIk4XBGYP4H9HXZ7KK8nzWI%3d
27,12,5,12,7,Underground,12,Rival,22,/teams/events/match_report/?EventGameId=3tAb4J9FibVuDaZd6aAOeIk4XBGYP4H9HXZ7KK8nzWI%3d
28,11,11,8,8,Showdown,11,Underground,26,/teams/events/match_report/?EventGameId=vpP%2bsget%2fBGNIHkhQa8vfYcl%2f%2bw%2bA%2fxFoBu9EZEb%2fRI%3d
29,8,8,7,11,Underground,8,Showdown,29,/teams/events/match_report/?EventGameId=vpP%2bsget%2fBGNIHkhQa8vfYcl%2f%2bw%2bA%2fxFoBu9EZEb%2fRI%3d
30,10,3,9,15,Heist,11,Nemesis,14,/teams/events/match_report/?EventGameId=q7liK7zEWIjEZDTAKGq8YLPkIhlhB7Mwxn2%2bc26Bbus%3d
31,14,4,13,11,Nemesis,15,Heist,14,/teams/events/match_report/?EventGameId=q7liK7zEWIjEZDTAKGq8YLPkIhlhB7Mwxn2%2bc26Bbus%3d
32,15,7,15,10,Nemesis,15,Heist,22,/teams/events/match_report/?EventGameId=FTCY682x0DpfEnk1vsn6TwdLRqucYW1vcwJae3jYOVY%3d
33,8,9,9,15,Heist,10,Nemesis,25,/teams/events/match_report/?EventGameId=FTCY682x0DpfEnk1vsn6TwdLRqucYW1vcwJae3jYOVY%3d
34,12,9,13,12,Rival,13,Showdown,16,/teams/events/match_report/?EventGameId=xfI6hqM4tWrFBLa3Xozs5BhdczP0cThChbthJnEhgEM%3d
35,12,5,12,13,Showdown,12,Rival,11,/teams/events/match_report/?EventGameId=xfI6hqM4tWrFBLa3Xozs5BhdczP0cThChbthJnEhgEM%3d
36,13,12,14,9,Schwa,15,Ozone,23,/teams/events/match_report/?EventGameId=mBDGbaV8gqiu3O33S%2f%2fAmiTVdC6W41phv6JI0UsrhHE%3d
37,9,9,9,15,Ozone,9,Schwa,27,/teams/events/match_report/?EventGameId=mBDGbaV8gqiu3O33S%2f%2fAmiTVdC6W41phv6JI0UsrhHE%3d
38,13,16,13,14,Schwa,13,Heist,23,/teams/events/match_report/?EventGameId=Ya%2fbzysZ13KMS5dh0zI8XYNJ5n2RAXY16I%2bnnnZIi5I%3d
39,14,5,12,13,Heist,14,Schwa,16,/teams/events/match_report/?EventGameId=Ya%2fbzysZ13KMS5dh0zI8XYNJ5n2RAXY16I%2bnnnZIi5I%3d
40,15,7,15,12,Rival,15,Ozone,17,/teams/events/match_report/?EventGameId=v%2bYosSfsMrk0aZPVLCHG5PjQGxPEwE6bHK%2b3%2fByp96Q%3d
41,12,4,12,15,Ozone,12,Rival,19,/teams/events/match_report/?EventGameId=v%2bYosSfsMrk0aZPVLCHG5PjQGxPEwE6bHK%2b3%2fByp96Q%3d
42,11,12,11,12,Ozone,11,Seattle Riot,27,/teams/events/match_report/?EventGameId=jjY%2fy4Q68kPiwMlZ69DuXyS8hAGLE6VE0zEzykVe1Yk%3d
43,12,15,12,11,Seattle Riot,12,Ozone,29,/teams/events/match_report/?EventGameId=jjY%2fy4Q68kPiwMlZ69DuXyS8hAGLE6VE0zEzykVe1Yk%3d
44,16,6,15,10,Schwa,15,Molly Brown,10,/teams/events/match_report/?EventGameId=9dEpO0PcxuyMgtFuAz%2bMgwbECajvgCDj039uJR%2baOAI%3d
45,9,1,9,15,Molly Brown,10,Schwa,5,/teams/events/match_report/?EventGameId=9dEpO0PcxuyMgtFuAz%2bMgwbECajvgCDj039uJR%2baOAI%3d
46,6,5,6,15,Brute Squad,6,Nightlock,28,/teams/events/match_report/?EventGameId=U4iswgvqiZi8LRPKwNdVNy0gsPFdVwtWYkH03EguJ8Q%3d
47,15,14,15,6,Nightlock,15,Brute Squad,21,/teams/events/match_report/?EventGameId=U4iswgvqiZi8LRPKwNdVNy0gsPFdVwtWYkH03EguJ8Q%3d
48,14,5,14,7,Scandal,15,Fury,10,/teams/events/match_report/?EventGameId=g18sJwfG9ljb61%2br8y3CHefoJwzlLyRPbUGLAOI%2bCwU%3d
49,7,5,7,15,Fury,7,Scandal,18,/teams/events/match_report/?EventGameId=g18sJwfG9ljb61%2br8y3CHefoJwzlLyRPbUGLAOI%2bCwU%3d
50,9,6,9,13,Scandal,9,Rival,29,/teams/events/match_report/?EventGameId=odC79Q96ozUtKemz68hiBMO3tgM7xULbjeJuubfgnl4%3d
51,12,14,12,9,Rival,13,Scandal,30,/teams/events/match_report/?EventGameId=odC79Q96ozUtKemz68hiBMO3tgM7xULbjeJuubfgnl4%3d
52,10,15,10,12,Brute Squad,10,Molly Brown,34,/teams/events/match_report/?EventGameId=sTdQyRwxyRQN9SWQt6DCsriSO1FXM1YA7WkEHPkRRO0%3d
53,12,9,12,10,Molly Brown,12,Brute Squad,31,/teams/events/match_report/?EventGameId=sTdQyRwxyRQN9SWQt6DCsriSO1FXM1YA7WkEHPkRRO0%3d
54,13,10,13,11,Scandal,13,Molly Brown,15,/teams/events/match_report/?EventGameId=0UyfKlXGwhCmbfR7uRuxBqRtotXcwz5hguUPj%2fzri9M%3d
55,11,7,11,13,Molly Brown,11,Scandal,19,/teams/events/match_report/?EventGameId=0UyfKlXGwhCmbfR7uRuxBqRtotXcwz5hguUPj%2fzri9M%3d
