,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,1,Simon Higgins,Deep,,,13,5,1,7,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,SIMON HIGGINS
1,2,Taylor Lahey,Defense (Handler),,,2,6,1,0,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,TAYLOR LAHEY
2,3,Kevin Cocks,Defense (Cutter),,,2,0,0,0,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,KEVIN COCKS
3,4,Joel Schlachet,Handler,,,9,4,2,2,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,JOEL SCHLACHET
4,5,Devon Anderson,Deep,,,0,1,0,1,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,DEVON ANDERSON
5,7,Russell Wynne,Defense (Cutter),,,3,1,1,2,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,RUSSELL WYNNE
6,8,Patrick Baylis,Defense (Handler),,,3,1,0,2,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,PATRICK BAYLIS
7,9,Cassidy Rasmussen,Mid,,,12,17,0,0,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,CASSIDY RASMUSSEN
8,10,Robbie Cahill,Handler,,,2,8,0,2,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,ROBBIE CAHILL
9,11,Zachary Travis,Defense (Cutter),,,2,0,2,2,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,ZACHARY TRAVIS
10,12,Sam Kanner,Defense (Cutter),,,2,1,0,2,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,SAM KANNER
11,13,Alex Evangelides,Defense (Cutter),,,1,1,2,0,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,ALEX EVANGELIDES
12,16,Jamie Quella,Defense (Cutter),,"6'0""",1,2,1,1,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,JAMIE QUELLA
13,18,Gregory Cohen,Defense (Cutter),,,2,4,2,1,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,GREGORY COHEN
14,19,Ryo Kawaoka,Defense (Handler),,,0,2,0,2,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,RYO KAWAOKA
15,20,Nick Schlag,Handler,,,4,0,1,3,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,NICK SCHLAG
16,21,Andrew Hagen,Defense (Cutter),,,1,3,3,3,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,ANDREW HAGEN
17,22,Marcelo Sanchez,Deep,,,3,1,3,1,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,MARCELO SANCHEZ
18,23,Jordan Jeffery,Deep,,,2,1,1,3,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,JORDAN JEFFERY
19,24,Elijah Kerns,Defense (Cutter),,,2,5,3,4,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,ELIJAH KERNS
20,27,Ashlin Joye,Handler,,,5,17,1,3,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,ASHLIN JOYE
21,28,Nathan White,Handler,,,3,2,2,1,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,NATHAN WHITE
22,29,Christian Johnson,Deep,,"6'2""",8,5,1,0,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,CHRISTIAN JOHNSON
23,32,Jordan Marcy,Defense (Handler),,,0,1,1,0,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,JORDAN MARCY
24,35,Lucas Dallmann,Defense (Cutter),,,7,6,6,1,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,LUCAS DALLMANN
25,50,Beau Kittredge,Mid,,,9,5,1,4,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,BEAU KITTREDGE
26,87,Chris Kosednar,Handler,,,2,4,0,1,/events/teams/?EventTeamId=jUKOiZodkLyPvo%2bZXdalivY0GgXr%2fS6b1iR88chbL%2bc%3d,Revolver,1,CHRIS KOSEDNAR
0,1,Colin Mcintyre,,,,1,0,0,1,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,COLIN MCINTYRE
1,3,Gabe Colton,,,,0,0,1,0,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,GABE COLTON
2,5,Charles Mccutcheon,,,"1'0""",0,0,1,0,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,CHARLES MCCUTCHEON
3,6,Leon Chou,,,,4,7,0,0,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,LEON CHOU
4,7,Nick Hirannet,,,,5,10,2,4,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,NICK HIRANNET
5,8,Nick Patel,Handler,,"5'7""",1,1,1,2,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,NICK PATEL
6,9,Patrick Diviney,,,,5,1,0,3,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,PATRICK DIVINEY
7,10,Matt Esser,,,,3,5,1,1,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,MATT ESSER
8,11,Himalaya Mehta,,,"6'0""",4,2,1,3,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,HIMALAYA MEHTA
9,13,David Brandolph,,,,2,13,1,8,/events/teams/?EventTeamId=OLKHHc1KdADLn3i2aYhE17Lk88eHuE8ILl%2fJHBsudJY%3d,Patrol,12,DAVID BRANDOLPH
