,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Lior Givol,,,"1'0""",1,0,1,1,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,LIOR GIVOL
1,1,Simon Higgins,Deep,,,8,5,1,2,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,SIMON HIGGINS
2,2,Kevin Cocks,Defense (Cutter),,,3,1,0,0,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,KEVIN COCKS
3,3,George Stubbs,Defense (Cutter/Handler),,,7,5,0,4,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,GEORGE STUBBS
4,4,Joel Schlachet,Handler,,,9,11,2,2,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,JOEL SCHLACHET
5,6,Julian Childs-Walker,,,,3,0,1,0,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,JULIAN CHILDS-WALKER
6,7,Russell Wynne,Defense (Cutter),,,3,1,2,1,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,RUSSELL WYNNE
7,8,John Stubbs,,,"6'0""",0,10,1,0,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,JOHN STUBBS
8,9,Cassidy Rasmussen,Mid,,,1,5,3,1,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,CASSIDY RASMUSSEN
9,10,Grant Lindsley,Mid,,,5,9,2,4,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,GRANT LINDSLEY
10,14,Kenneth Justin Lim,Handler,,"5'10""",0,0,0,0,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,KENNETH JUSTIN LIM
11,15,Michael Spear,Mid,,"5'9""",1,1,2,2,/events/teams/?EventTeamId=Lrd0wn1h%2fQmTM4tR77Tdsp84ojFphq3eXsu7GRWWru4%3d,Revolver,1,MICHAEL SPEAR
