,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,1,Joshua Markette,Mid,,,5,10,1,3,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JOSHUA MARKETTE
1,2,Rustin Ingold-Smith,Defense (Handler),,"6'0""",3,8,1,3,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,RUSTIN INGOLD-SMITH
2,3,Kurt Gibson,Defense (Handler),,,9,25,3,9,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,KURT GIBSON
3,4,Jason Clark,Defense (Cutter),,"6'2""",2,2,3,1,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JASON CLARK
4,5,Jordan Taylor,Defense (Cutter),,"6'0""",0,0,0,1,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JORDAN TAYLOR
5,7,William Neff,Mid,,,5,5,4,5,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,WILLIAM NEFF
6,8,Thomas Edmonds,Defense (Cutter),,"1'0""",1,0,0,0,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,THOMAS EDMONDS
7,10,Tyler Chan,Defense (Handler),,,6,2,0,7,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,TYLER CHAN
8,11,Christian Foster,Defense (Handler),,,4,4,2,4,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,CHRISTIAN FOSTER
9,12,Alex Simmons,Defense (Handler),,,3,5,0,0,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,ALEX SIMMONS
10,13,Thomas Annen,Defense (Handler),,"5'11""",3,3,0,1,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,THOMAS ANNEN
11,14,John Stubbs,Defense (Cutter),,"6'0""",12,4,0,3,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JOHN STUBBS
12,16,David Ferraro,Defense (Cutter),,"5'11""",1,0,3,0,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,DAVID FERRARO
13,17,R. Thomas Sayre-Mccord,Defense (Cutter),,,0,0,1,3,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,R. THOMAS SAYRE-MCCORD
14,18,Jim Foster,Defense (Cutter),,,1,0,2,1,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JIM FOSTER
15,19,William Dean,Defense (Handler),,,0,1,1,1,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,WILLIAM DEAN
16,21,Jeff Graham,Mid,,,13,4,0,3,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JEFF GRAHAM
17,23,Mark Vandenberg,Defense (Handler),,"6'1""",1,0,1,1,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,MARK VANDENBERG
18,27,Jack Hatchett,Defense (Cutter),,"6'0""",4,1,6,3,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JACK HATCHETT
19,33,Russell Wallack,Defense (Handler),,,1,1,0,2,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,RUSSELL WALLACK
20,34,Jared Inselmann,Handler,,,3,5,2,6,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JARED INSELMANN
21,35,Piers Macnaughton,Deep,,,2,1,0,4,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,PIERS MACNAUGHTON
22,38,Adrian Banerji,Defense (Cutter/Handler),,,0,0,0,4,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,ADRIAN BANERJI
23,43,Jonathan Hirschberger,Defense (Cutter/Handler),,,0,0,0,1,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,JONATHAN HIRSCHBERGER
24,77,Danny Clark,Deep,,,0,0,0,0,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,DANNY CLARK
25,84,Alex Kapinos,Deep,,,2,0,1,0,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,ALEX KAPINOS
26,99,Andrew Hooker,Defense (Handler),,,2,0,0,1,/events/teams/?EventTeamId=inWvrz76VDtbh1%2fk1%2fUokJ63mRgCncDj4eIAfSuc3oI%3d,Ironside,1,ANDREW HOOKER
0,1,Markian Kuzmowycz,Cutter,,"5'7""",2,1,1,4,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,MARKIAN KUZMOWYCZ
1,2,Nicholas Silbart,Cutter,,,1,1,0,0,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,NICHOLAS SILBART
2,3,Jon Cox,Cutter,,,11,2,1,2,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,JON COX
3,4,Matt Hennessy,Handler/Cutter,,,0,0,1,2,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,MATT HENNESSY
4,6,Michael Brenner,Handler,,,1,0,0,2,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,MICHAEL BRENNER
5,7,Clark Cofer,Handler,,"6'0""",4,3,0,3,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,CLARK COFER
6,9,Matthew Lemar,Handler,,,1,2,0,1,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,MATTHEW LEMAR
7,10,Gerald Tigol,Handler/Cutter,,,2,0,0,1,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,GERALD TIGOL
8,13,Alberto Alarcon,Handler/Cutter,,,5,2,3,4,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,ALBERTO ALARCON
9,14,David Vuckovich,Cutter,,,0,4,3,4,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,DAVID VUCKOVICH
10,15,Kevin Norton,Cutter,,,5,10,1,5,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,KEVIN NORTON
11,17,Luke Wolckenhauer,Handler/Cutter,,"6'1""",0,1,1,3,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,LUKE WOLCKENHAUER
12,19,Isaac Saul,Handler,,,0,2,1,4,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,ISAAC SAUL
13,20,Michael Hennessy,Handler,,,1,3,1,5,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,MICHAEL HENNESSY
14,22,Jack Marsh,Cutter,,,2,1,1,6,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,JACK MARSH
15,23,William Katz,Handler/Cutter,,,3,6,3,12,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,WILLIAM KATZ
16,25,Gary Dixon,Handler,,,0,1,0,1,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,GARY DIXON
17,27,Lionel Wininger,Handler,,"5'10""",1,1,2,1,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,LIONEL WININGER
18,29,Ian Guerin,Cutter,,,1,1,1,1,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,IAN GUERIN
19,31,Chris Kocher,Handler/Cutter,,,4,8,2,13,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,CHRIS KOCHER
20,33,Jake Herman,Handler/Cutter,,,3,0,0,2,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,JAKE HERMAN
21,43,Josue (Joshy) Alorro,Handler,,"5'9""",4,6,3,12,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,JOSUE (JOSHY) ALORRO
22,44,Robert (Robbie) Gillies,Cutter,,,1,0,2,0,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,ROBERT (ROBBIE) GILLIES
23,50,Milo Snyder,Handler,,"1'0""",3,2,2,1,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,MILO SNYDER
24,61,Matthew Weintraub,Handler,,"6'0""",0,1,1,1,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,MATTHEW WEINTRAUB
25,80,Michael Drost,Cutter,,,7,5,1,9,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,MICHAEL DROST
26,83,Ryan Drost,Cutter,,"6'1""",4,3,4,6,/events/teams/?EventTeamId=xfj35AUZUSmOB1kRTLlKfF8PMLLCxVuJ0%2fUZsq3f7b8%3d,PoNY,8,RYAN DROST
