,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0.0,Jacob Janin,,,,3,4,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,JACOB JANIN
1,1.0,Camden Allison-Hall,,,,0,0,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,CAMDEN ALLISON-HALL
2,2.0,Brice Dixon,,,,1,4,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,BRICE DIXON
3,4.0,Zachary Goulson,,,,1,0,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,ZACHARY GOULSON
4,5.0,Simon Montague,,,,3,7,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,SIMON MONTAGUE
5,9.0,Sam Harkness,,,,1,1,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,SAM HARKNESS
6,10.0,Dongyang Chen,,,,0,2,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,DONGYANG CHEN
7,11.0,Christian Foster,,,,3,1,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,CHRISTIAN FOSTER
8,12.0,Tony Venneri,,,,1,0,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,TONY VENNERI
9,14.0,Xander Cuizon Tice,,,,7,2,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,XANDER CUIZON TICE
10,15.0,Derek Mourad,,,"5'2""",2,3,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,DEREK MOURAD
11,16.0,Trent Dillon,,,"5'11""",4,1,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,TRENT DILLON
12,17.0,Zane Rankin,,,"6'2""",0,0,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,ZANE RANKIN
13,19.0,Husayn Carnegie,,,"6'0""",0,1,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,HUSAYN CARNEGIE
14,22.0,Matt Russell,,,,4,3,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,MATT RUSSELL
15,23.0,Danny Karlinsky,,,"5'8""",1,2,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,DANNY KARLINSKY
16,24.0,Joe Sefton,,,"5'5""",4,4,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,JOE SEFTON
17,25.0,Frank Devin Barich,,,,1,3,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,FRANK DEVIN BARICH
18,27.0,William Katz,,,,1,0,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,WILLIAM KATZ
19,28.0,Duncan Linn,,,"6'1""",3,1,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,DUNCAN LINN
20,31.0,Matthew Rehder,,,,7,3,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,MATTHEW REHDER
21,34.0,John Randolph,,,"6'0""",5,1,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,JOHN RANDOLPH
22,37.0,Thomas Kulczak,,,"5'11""",0,0,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,THOMAS KULCZAK
23,55.0,Dylan Freechild,,,,6,6,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,DYLAN FREECHILD
24,70.0,Julian Hausman,,,,0,5,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,JULIAN HAUSMAN
25,77.0,Ben Snell,,,,1,1,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,BEN SNELL
26,87.0,Chris Kosednar,,,,2,2,0,0,/events/teams/?EventTeamId=9cjbhdqPFfxBTLkZcO0V4T4r7Kh9cXkGeLv2JUZJfM4%3d,Sockeye,8,CHRIS KOSEDNAR
0,1.0,David Wiseman,Cutter,,"6'5""",2,3,0,0,/events/teams/?EventTeamId=zNn6divPN7qsVJLyvJVxq4IIH6gW8wHwthl2qSfYFtE%3d,Madison Club,12,DAVID WISEMAN
1,2.0,Logan Pruess,Handler,,,0,2,0,0,/events/teams/?EventTeamId=zNn6divPN7qsVJLyvJVxq4IIH6gW8wHwthl2qSfYFtE%3d,Madison Club,12,LOGAN PRUESS
2,6.0,Bill Everhart,Handler,,"6'1""",0,0,0,0,/events/teams/?EventTeamId=zNn6divPN7qsVJLyvJVxq4IIH6gW8wHwthl2qSfYFtE%3d,Madison Club,12,BILL EVERHART
3,7.0,Avery Johnson,Cutter,,"5'11""",4,1,0,0,/events/teams/?EventTeamId=zNn6divPN7qsVJLyvJVxq4IIH6gW8wHwthl2qSfYFtE%3d,Madison Club,12,AVERY JOHNSON
4,9.0,Andrew Meshnick,Cutter,,,4,4,0,0,/events/teams/?EventTeamId=zNn6divPN7qsVJLyvJVxq4IIH6gW8wHwthl2qSfYFtE%3d,Madison Club,12,ANDREW MESHNICK
